SN,YEAR,QTR,MONTH,PROJECT_CODE,PROJECT_NAME,ACCOUNT_NAME,PRACTICE_AREA,BU,BU_ TYPE,REGION_COUNTRY,ENTITY_INDIA_US,TOTAL_RESOURCES,TOTAL_REVENUE,TOTAL_DIRECT_COST,NET_MARGIN,EBIDTA
1544,2022-23,Q3,12/1/2022,IM300163,IMS-IRDA-IGMS - Infra & Hosting /DC/DR Services,ATWW,IMS,Digital,Project,IND,NSEIT-IND-SA,1.15,-9.11,0.97,-10.08,-10.13
1545,2022-23,Q3,12/1/2022,IM300164,IMS -IRDA -IGMS -AMC / Helpdesk Support ,ATWW,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,-6.25,0.88,-7.13,-7.13
1546,2022-23,Q3,12/1/2022,IM300165,IMS - Aujas - Business Support Service,QZRU,ISRC,Digital,Project,IND,NSEIT-IND-SA,0.00,8.01,0.00,8.01,8.01
1547,2022-23,Q3,12/1/2022,IM300166,IMS-NAFED-T&M,LTUH,IMS,Digital,Project,IND,NSEIT-IND-SA,3.97,0.00,1.13,-1.13,-1.31
1548,2022-23,Q3,12/1/2022,IM300168,IMS-Indian Bank -Infra & OS licenses,NIML,IMS,Digital,Project,IND,NSEIT-IND-SA,11.50,0.00,6.69,-6.69,-7.21
1549,2022-23,Q3,12/1/2022,IM300170,IMS-SIDBI,RXBM,IMS,Digital,Project,IND,NSEIT-IND-SA,1.00,1.30,0.72,0.58,0.53
1550,2022-23,Q3,12/1/2022,IM300171,IMS-HSVPHSIIDCSTP,ZJMY,IMS,Digital,Project,IND,NSEIT-IND-SA,11.63,3.10,5.90,-2.80,-3.33
1551,2022-23,Q3,12/1/2022,IM300172,IMS-Magma HDI,VVEE,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,3.92,1.10,2.82,2.82
1552,2022-23,Q3,12/1/2022,IM300173,IMS -Tea-Board -Migration of Infra/Cloud service,ZWAD,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,46.57,9.42,37.15,37.15
1553,2022-23,Q3,12/1/2022,IM300174,IMS - CXIO - Business Support Cloud Service,QRMN,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,1.50,0.00,1.50,1.50
1554,2022-23,Q3,12/1/2022,IM300175,IMS-Indian Bank -Onsite Support,NIML,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,-43.06,0.00,-43.06,-43.06
1555,2022-23,Q3,12/1/2022,IM300176,IMS-HDFC Mutual Fund -AWS Managed Service,YQUZ,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,8.00,-8.00,-8.00
1556,2022-23,Q3,12/1/2022,IM400057,IMS - Tea Board - T&M Infrastructure Services,ZWAD,IMS,Digital,Project,IND,NSEIT-IND-SA,15.55,4.74,7.67,-2.93,-3.63
1557,2022-23,Q3,12/1/2022,IM400212,IMS-NSE-BCP,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,92.96,119.68,62.29,57.39,53.21
1558,2022-23,Q3,12/1/2022,IM400215,IMS-NAFED -T&M,LTUH,IMS,Digital,Project,IND,NSEIT-IND-SA,5.11,0.00,1.96,-1.96,-2.19
1559,2022-23,Q3,12/1/2022,IM400216,IMS-NSE-Incident Manager,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,2.00,3.26,2.08,1.18,1.09
1560,2022-23,Q3,12/1/2022,IM400217,IMS-Magma Fincorp,YOLZ,IMS,Digital,Project,IND,NSEIT-IND-SA,0.77,0.00,2.74,-2.74,-2.77
1561,2022-23,Q3,12/1/2022,IM400218,IMS-NSE-Project Management (PMO),PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,2.00,2.67,1.65,1.02,0.93
1562,2022-23,Q3,12/1/2022,IM400220,IMS-CloudEX-Support Services,QRMN,ISRC,Digital,Project,IND,NSEIT-IND-SA,23.00,6.18,6.63,-0.45,-1.49
1563,2022-23,Q3,12/1/2022,IM400221,IMS-MCX- T&M -IT operation,YRQD,IMS,Digital,Project,IND,NSEIT-IND-SA,4.00,15.17,4.59,10.58,10.40
1564,2022-23,Q3,12/1/2022,IM599999,Practice Bench – IMS,EZOF,IMS,Digital,Bench,IND,NSEIT-IND-SA,128.12,0.00,0.00,-38.77,-40.44
1565,2022-23,Q3,12/1/2022,IS300021,ISRC- Bank of India,AMUE,ISRC,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.30,-0.30,-0.30
1566,2022-23,Q3,12/1/2022,IS400003,ISRC - NSE,PMB,ISRC,Digital,Project,IND,NSEIT-IND-SA,0.00,66.65,8.99,57.67,57.67
1567,2022-23,Q3,12/1/2022,PI699999,Practice Development – IMS,RHCC,IMS,Digital,Practice,IND,NSEIT-IND-SA,20.10,0.00,0.00,-84.74,-85.00
1568,2022-23,Q3,12/1/2022,SS300256,Software Service - NSE-Enterprise Applications support,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,34.87,38.31,25.71,12.60,11.03
1569,2022-23,Q3,12/1/2022,SS300266,Software Service - NSE - CTCL-CRM Support,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,11.00,10.00,7.98,2.02,1.52
1570,2022-23,Q3,12/1/2022,SS300289,Software Service -IRDA -IGMS -Portal License,ATWW,IMS,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.34,-0.34,-0.34
1571,2022-23,Q3,12/1/2022,SS400224,Software Services - NSE Infotech Gift City -Support Service,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,67.97,244.60,64.44,180.16,177.10
1572,2022-23,Q3,12/1/2022,SS400250,Software Services - NSE -Trading Test Environment Management,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,17.00,23.28,12.37,10.91,10.14
1573,2022-23,Q3,12/1/2022,SS400283,Software Service - NSE-PSM & Epsilon,PMB,IMS,Digital,Project,IND,NSEIT-IND-SA,34.42,74.04,41.63,32.41,30.86
1574,2022-23,Q3,12/1/2022,SS400275,Software Services -Development -NeSL Production Support,DKFU,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,5.00,7.01,4.87,2.14,1.91
1575,2022-23,Q3,12/1/2022,CC400038,Customer Care Services - Thomson Reuters,JAKU,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,6.00,5.69,3.58,2.11,1.84
1576,2022-23,Q3,12/1/2022,PN399999,Practice Bench – PSG Non NSE,PMB,PSG-Non NSE,Digital,Bench,IND,NSEIT-IND-SA,1.69,0.00,0.00,-4.26,-4.29
1577,2022-23,Q3,12/1/2022,PN499999,Practice Bench-PSG -NSE,PMB,PSG-NSE,Digital,Bench,IND,NSEIT-IND-SA,3.42,0.00,0.00,-4.18,-4.23
1578,2022-23,Q3,12/1/2022,SS400123,Software Services-Citi Bank-T&M-Development,PWPW,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,4.00,4.48,2.90,1.58,1.40
1579,2022-23,Q3,12/1/2022,SS400204,Software Services - Development - HDFC Ergo,DPBP,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,5.00,5.13,3.48,1.65,1.43
1580,2022-23,Q3,12/1/2022,SS400231,Software Services- NSDL-Inspection Automation-Development,TETW,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.05,-0.05,-0.05
1581,2022-23,Q3,12/1/2022,SS400234,Software Services - Reliance Gen- Development,OUMN,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,12.00,14.86,8.89,5.97,5.43
1582,2022-23,Q3,12/1/2022,SS400237,Software Services - NDML-Application Development,TETW,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,3.00,1.30,-1.20,2.50,2.37
1583,2022-23,Q3,12/1/2022,SS400245,Software Services - Piramal Finance T&M,YJXO,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,1.00,1.10,0.66,0.44,0.39
1584,2022-23,Q3,12/1/2022,SS400251,Software Services - Fulletron,AIXP,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,3.00,3.41,0.50,2.91,2.77
1585,2022-23,Q3,12/1/2022,SS400257,Software Services -Edelweiss Financial,QSLJ,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,-0.99,0.99,0.99
1586,2022-23,Q3,12/1/2022,SS400259,Software Services -Development -HDFC Ltd,GYVI,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,0.00,-0.70,0.60,-1.30,-1.30
1587,2022-23,Q3,12/1/2022,SS400260,Software Services -Development -NESL-T&M,DKFU,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,6.00,10.17,10.51,-0.34,-0.61
1588,2022-23,Q3,12/1/2022,SS400262,Software Services -Development -Kotak Bank,HCAR,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,8.38,7.19,5.74,1.45,1.07
1589,2022-23,Q3,12/1/2022,SS400263,Software Services -Development -Prudential -10 FA,LYAR,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,8.84,19.36,9.71,9.65,9.25
1590,2022-23,Q3,12/1/2022,SS400265,Software Services -Development -DCB Bank,QJCC,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,1.00,1.54,0.73,0.81,0.77
1591,2022-23,Q3,12/1/2022,SS400270,Software Services -Development -Aditya Birla,WUOD,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,1.00,0.75,0.68,0.07,0.02
1592,2022-23,Q3,12/1/2022,SS400271,Software Services -Development -Karnataka Bank,UEKK,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,1.00,0.70,0.75,-0.05,-0.09
1593,2022-23,Q3,12/1/2022,SS400278,Software Services - Development - IIFL - Linux /GCP,HROA,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,3.00,2.65,2.11,0.54,0.41
1594,2022-23,Q3,12/1/2022,SS400288,Software Service -NPCI -T&M,EWSE,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,3.00,2.73,1.85,0.88,0.74
1595,2022-23,Q3,12/1/2022,SS400291,Software Service -G&D Product Development,IETB,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,1.00,2.89,1.64,1.25,1.20
1596,2022-23,Q3,12/1/2022,SS400296,Software Service -SBI Mutual Fund,ODSH,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,1.35,0.00,1.25,-1.25,-1.31
1597,2022-23,Q3,12/1/2022,SS400302,Software Services - EXIDE Life,SHIN,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,1.58,1.00,1.74,-0.74,-0.81
1598,2022-23,Q3,12/1/2022,ST400178,Software Testing - T&M - NSDL - BAT,TETW,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,7.87,7.25,3.93,3.32,2.97
1599,2022-23,Q3,12/1/2022,ST400179,Software Testing-SBI Life-T&M,LIB,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,96.06,126.05,49.30,76.75,72.43
1600,2022-23,Q3,12/1/2022,ST400195,Software Testing- RBL T&M,TENY,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,2.00,2.82,1.19,1.63,1.54
1601,2022-23,Q3,12/1/2022,ST400200,Software Testing - T&M - TATA AIA LIC,LFIY,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,57.03,41.91,31.33,10.58,8.02
1602,2022-23,Q3,12/1/2022,ST400202,Software Testing - T&M - BOA,ZFPS,PSG-Non NSE,Digital,Project,Singapore,NSEIT-IND-SA,6.00,10.15,5.12,5.04,4.77
1603,2022-23,Q3,12/1/2022,SS400161,Software Services-AVALON-T&M,UTHN,PSG-Non NSE,Digital,Project,US (to NSEIT Inc),NSEIT-IND-SA,2.00,6.68,3.82,2.86,2.77
1604,2022-23,Q3,12/1/2022,PN599999,Practice Development -PSG NSE,RHCC,PSG-NSE,Digital,Practice,IND,NSEIT-IND-SA,3.00,0.00,0.00,-16.52,-16.55
1605,2022-23,Q3,12/1/2022,SS400046,Software Services - T&M - NSE - Development,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,123.15,201.69,120.82,80.87,75.33
1606,2022-23,Q3,12/1/2022,SS400249,Software Services - NSE IFSC Gift City Trading Development,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,62.10,94.69,59.46,35.23,32.44
1607,2022-23,Q3,12/1/2022,SS400303,Software Service -NSE-Collateral segregation,PMB,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,2.00,4.07,1.75,2.32,2.23
1608,2022-23,Q3,12/1/2022,ST400176,Software Testing - T&M - NSE - BAT,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,4.00,2.19,2.40,-0.21,-0.39
1609,2022-23,Q3,12/1/2022,ST400204,Software Testing- NSE -Web Testing,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,6.00,9.68,2.22,7.46,7.19
1610,2022-23,Q3,12/1/2022,ST400211,Software Testing-NSE -MF Testing,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,2.00,3.63,1.48,2.15,2.06
1611,2022-23,Q3,12/1/2022,PS699999,Practice Development – Strategic Projects & Alliance,QRWT,App Modernisation,Digital,Practice,IND,NSEIT-IND-SA,1.00,0.00,0.00,-6.33,-6.35
1612,2022-23,Q3,12/1/2022,DG699999,Software Services NASDAQ- Bench,DKVV,App Modernisation,Digital,Bench,US (to NSEIT Inc),NSEIT-IND-SA,1.30,0.00,11.41,-11.41,-11.47
1613,2022-23,Q3,12/1/2022,SS300270,Software Service - Brunei Stock Exchange,SOLW,App Modernisation,Digital,Project,Brunei,NSEIT-IND-SA,0.00,0.00,-0.08,0.08,0.08
1614,2022-23,Q3,12/1/2022,SS400279,Software Services -Nasdaq -OCC,DKVV,App Modernisation,Digital,Project,US (to NSEIT Inc),NSEIT-IND-SA,17.60,72.01,44.81,27.20,26.41
1615,2022-23,Q3,12/1/2022,SS400289,Software Services -Nasdaq - DGCX,DKVV,App Modernisation,Digital,Project,US (to NSEIT Inc),NSEIT-IND-SA,7.40,22.69,21.67,1.02,0.68
1616,2022-23,Q3,12/1/2022,RP400006,RPA - Edelweiss Tokio -T&M,AQUT,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.00,1.20,0.93,0.27,0.22
1617,2022-23,Q3,12/1/2022,SS400299,Software Services - SGX -GIFT-NFT,TEMT,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,3.43,0.45,2.96,-2.50,-2.66
1618,2022-23,Q3,12/1/2022,SD999999,Sales - Digital,EKQX,Digital - SAM,Digital,Sales,IND,NSEIT-IND-SA,22.50,0.00,0.00,0.00,-59.02
1619,2022-23,Q3,12/1/2022,MD999999,Marketing - Digital,GRFP,Digital - SAM,Digital,Marketing,IND,NSEIT-IND-SA,8.00,0.00,0.00,0.00,-28.70
1620,2022-23,Q3,12/1/2022,DG999999,Digi-Support,ALSB,Digi-Support,Digital,Corporate,IND,NSEIT-IND-SA,25.94,0.00,0.00,0.00,
1621,2022-23,Q3,12/1/2022,SS400300-US,Software Testing -Adi-Worldlink -AWS-Financial Project - US,LGDI,Data & Analytics,Digital,Project,US (Addl),US (Addl),0.00,6.04,0.00,6.04,6.04
1622,2022-23,Q3,12/1/2022,SS400279-US,Software Services -Nasdaq -OCC - US,DKVV,App Modernisation,Digital,Project,US (Addl),US (Addl),0.00,18.00,0.00,18.00,18.00
1623,2022-23,Q3,12/1/2022,SS400289-US,Software Services -Nasdaq - DGCX - US,DKVV,App Modernisation,Digital,Project,US (Addl),US (Addl),0.00,5.67,0.00,5.67,5.67
1624,2022-23,Q3,12/1/2022,SS400161-US,Software Services-AVALON-T&M - US,UTHN,PSG-Non NSE,Digital,Project,US (Addl),US (Addl),0.00,1.67,0.00,1.67,1.67
1625,2022-23,Q3,12/1/2022,US Expense,US Expense,EKQX,Digital - SAM,Digital,Sales,US (Addl),US (Addl),0.00,0.00,0.00,0.00,-26.48
1626,2022-23,Q4,1/1/2023,SP100149,Software Products- Huda e-Auctions System,VOZX,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,7.20,21.28,4.97,16.31,15.99
1627,2022-23,Q4,1/1/2023,SP100150,Software Products- HSIDC-e-Auctions System,GFBV,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,5.50,0.96,2.61,-1.65,-1.89
1628,2022-23,Q4,1/1/2023,SP100154,Software Products- NSE-Solace Agent for ITRS,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,7.22,5.98,1.24,1.24
1629,2022-23,Q4,1/1/2023,SP100157,Software Products -NSE-Dataswitch Licence,PMB,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,0.00,13.71,9.03,4.68,4.68
1630,2022-23,Q4,1/1/2023,SS300034,Software Services -Tea Board E-Auction Solutions-Maintenance,ZWAD,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,13.85,9.17,7.89,1.28,0.66
1631,2022-23,Q4,1/1/2023,SS300290,Software Service -IRDA -IGMS -Portal Development,ATWW,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.00,0.00,0.00
1632,2022-23,Q4,1/1/2023,SS300291,Software Service -IRDA -IGMS -AMC / Helpdesk Support,ATWW,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,10.49,0.00,12.04,-12.04,-12.52
1633,2022-23,Q4,1/1/2023,SS300292,Software Service - NSE XBRL -AMC,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,2.25,3.17,2.35,0.83,0.73
1634,2022-23,Q4,1/1/2023,SS300295,Software Service - NSE- Contract Generation AMC Support ,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,7.00,10.83,9.17,1.66,1.35
1635,2022-23,Q4,1/1/2023,SS300299,Software Service - NSE-Neaps AMC,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,4.00,0.00,2.17,-2.17,-2.35
1636,2022-23,Q4,1/1/2023,SS300310,Software Service - Development -NAFED,LTUH,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.00,0.00,0.00
1637,2022-23,Q4,1/1/2023,SS300311,Software Service NESL-e-Auction Platform,UKBZ,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,0.38,0.00,0.38,0.38
1638,2022-23,Q4,1/1/2023,SS300318,Software Service -NSE-STP Support HUB,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.20,2.75,0.87,1.88,1.82
1639,2022-23,Q4,1/1/2023,SS300321,Software Service - PXIL-PRATYAY,DCUW,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,23.52,25.73,17.56,8.17,7.11
1640,2022-23,Q4,1/1/2023,SS300322,Software Services -Magma HDI - Partner Portal,VVEE,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,72.69,0.00,83.90,-83.90,-87.17
1641,2022-23,Q4,1/1/2023,SS300323,Software Service -Indian Bank-Software Implementation,NIML,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,26.00,0.00,30.18,-30.18,-31.35
1642,2022-23,Q4,1/1/2023,SS300324,Software Service -South Indian Bank,VCYT,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.10,6.75,0.30,6.45,6.45
1643,2022-23,Q4,1/1/2023,SS300328,Software Service -NSE-XBRL - Misc,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.35,4.25,3.79,0.46,0.40
1644,2022-23,Q4,1/1/2023,SS300330,Software Service -NSE-Solace Onsite Support,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,13.42,13.40,0.03,0.03
1645,2022-23,Q4,1/1/2023,SS300331,Software Services -Bharat Platform,LOKN,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,20.00,0.00,32.12,-32.12,-33.02
1646,2022-23,Q4,1/1/2023,SS400268,Software Services -Development -Coco Navi,EIXB,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,1.00,2.20,1.47,0.73,0.68
1647,2022-23,Q4,1/1/2023,SS400276,Software Services -Magma -T&M,VVEE,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,0.23,0.00,0.81,-0.81,-0.82
1648,2022-23,Q4,1/1/2023,SS400285,Software Service -IIBF CLMS,TEFN,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,5.00,5.83,4.28,1.55,1.32
1649,2022-23,Q4,1/1/2023,SS400287,Software Service -Contract Generation - Production Support,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,2.00,2.98,1.50,1.48,1.39
1650,2022-23,Q4,1/1/2023,SS400290,NSE- Solace -Enhanced Support,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,2.00,28.74,23.99,4.74,4.65
1651,2022-23,Q4,1/1/2023,SS400294,Software Service -NSE-IFSC-Website Dev & Mtns,PMB,PSG-NSE,Digital,Project,IND,NSEIT-IND-SA,4.58,7.14,3.97,3.17,2.96
1652,2022-23,Q4,1/1/2023,SS400306,Software Service -NSE-Website,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,31.61,42.38,37.50,4.88,3.46
1653,2022-23,Q4,1/1/2023,SS400307,Software Service HDFC Mutual fund,GYVI,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,1.00,1.35,1.26,0.09,0.04
1654,2022-23,Q4,1/1/2023,SS400308,Software Service -NSE-Data Scientist (Surveillance) ,PMB,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,1.05,6.09,3.55,2.54,2.49
1655,2022-23,Q4,1/1/2023,SS400310,Software Service -CCIL-Onsite-T&M,RYMC,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,3.00,6.00,2.48,3.52,3.38
1656,2022-23,Q4,1/1/2023,SS400311,Software Service -NSDL-Qlik Development,TETW,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,2.10,3.09,2.33,0.76,0.67
1657,2022-23,Q4,1/1/2023,SS400312,Software Service -NSE-VGT Load Pumping,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,7.35,10.96,7.14,3.81,3.48
1658,2022-23,Q4,1/1/2023,SS400313,Software Service -IDFC T&M,XGLI,PSG-Non NSE,Digital,Project,IND,NSEIT-IND-SA,2.00,2.34,1.33,1.01,0.92
1659,2022-23,Q4,1/1/2023,SS400316,Software Service -Trafigura,LCVW,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,18.54,15.12,26.29,-11.17,-12.01
1660,2022-23,Q4,1/1/2023,SS400317,Software Services - Nasdaq -Market Service Platform,DKVV,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.18,7.92,4.76,3.16,3.11
1661,2022-23,Q4,1/1/2023,SS400318,Software Services - Nasdaq -Investor Relations,DKVV,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,6.89,36.79,16.33,20.46,20.15
1662,2022-23,Q4,1/1/2023,SS400319,Software Services - Nasdaq - BOFA,DKVV,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,4.18,14.52,3.61,10.90,10.71
1663,2022-23,Q4,1/1/2023,SS400320,Software Services - Nasdaq -Australian Exchange (ASX),DKVV,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,2.18,0.00,7.19,-7.19,-7.29
1664,2022-23,Q4,1/1/2023,SS400321,Software Services - Nasdaq -LMEC,DKVV,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,2.00,0.00,5.37,-5.37,-5.46
1665,2022-23,Q4,1/1/2023,SS400322,Software Services-NSE (BKC)-New Batch ,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,106.00,0.00,41.18,-41.18,-45.95
1666,2022-23,Q4,1/1/2023,SS400323,Software Services-HDFC _Loan linked Insurance Onsite Support,GYVI,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.65,0.00,0.94,-0.94,-0.97
1667,2022-23,Q4,1/1/2023,SS400324,Software Services-NSE SEBI-Surveilance,PMB,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,1.00,0.00,1.54,-1.54,-1.59
1668,2022-23,Q4,1/1/2023,SS400325,Software Services-NSE DWH PM Office,PMB,Data & Analytics,Digital,Project,IND,NSEIT-IND-SA,1.00,0.00,2.24,-2.24,-2.29
1669,2022-23,Q4,1/1/2023,SS300275,Software Service - Aujas - Palm Products,QZRU,App Modernisation,Digital,Project,US (to NSEIT Inc),NSEIT-IND-SA,0.00,0.00,0.00,0.00,0.00
1670,2022-23,Q4,1/1/2023,PA399999,Practice Bench - App Modernisation,EZOF,App Modernisation,Digital,Bench,IND,NSEIT-IND-SA,19.22,0.00,0.00,-6.73,-6.56
1671,2022-23,Q4,1/1/2023,PA699999,Practice Development  - App Modernisation,RHCC,App Modernisation,Digital,Practice,IND,NSEIT-IND-SA,8.75,0.00,0.00,-23.54,-23.46
1672,2022-23,Q4,1/1/2023,PB399999,Practice Bench -Business Transformation,EZOF,Business Transformation,Digital,Bench,IND,NSEIT-IND-SA,34.88,0.00,0.00,-15.89,-15.58
1673,2022-23,Q4,1/1/2023,PB699999,Practice Development - Business Transformation,RHCC,Business Transformation,Digital,Practice,IND,NSEIT-IND-SA,2.20,0.00,0.00,-6.47,-6.45
1674,2022-23,Q4,1/1/2023,RP100001,RPA - NSE - Robotic Automation,PMB,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.00,0.00,0.00
1675,2022-23,Q4,1/1/2023,RP100004,RPA - TATA Aia - Automation,LFIY,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,-0.02,0.02,0.02
1676,2022-23,Q4,1/1/2023,RP100009,RPA - SBI Life-Automation Licence,LIB,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,0.00,26.30,21.38,4.92,4.92
1677,2022-23,Q4,1/1/2023,RP300009,RPA - Automation (24 Process ) - NSE,PMB,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,2.05,7.50,1.73,5.77,5.67
1678,2022-23,Q4,1/1/2023,RP300013,RPA - Automation -SBI Life,LIB,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,14.30,16.62,8.03,8.60,7.95
1679,2022-23,Q4,1/1/2023,RP400001,RPA - NSE - Robotic Automation  T&M,PMB,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,6.33,10.42,3.33,7.08,6.80
1680,2022-23,Q4,1/1/2023,RP400005,RPA - TATA Aia -T&M,LFIY,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,7.57,12.92,6.40,6.52,6.18
1681,2022-23,Q4,1/1/2023,RP400010,RPA -IDFC First Bank,XSZC,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,18.84,17.51,14.37,3.14,2.30
1682,2022-23,Q4,1/1/2023,RP400011,RPA - SBI Life -T&M,LIB,Business Transformation,Digital,Project,IND,NSEIT-IND-SA,5.00,2.21,2.17,0.04,-0.19
1683,2022-23,Q4,1/1/2023,SP200002,Software Products - Back Office - Ensettle - Maintenance,CQVA,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,1.25,1.94,0.97,0.96,0.91
1684,2022-23,Q4,1/1/2023,SP200030,Software Products - Messaging Solutions - Maintenance,CQVA,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,3.90,5.88,2.29,3.59,3.41
1685,2022-23,Q4,1/1/2023,SS300255,Software Service - Federal Bank Collection Management,KPQR,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,1.09,0.83,0.26,0.26
1686,2022-23,Q4,1/1/2023,SS300262,Software Service - NSE- Document Management System,PMB,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,0.00,0.55,-0.55,-0.55
1687,2022-23,Q4,1/1/2023,SS300263,Software Service - Equitas Collection Management Solutions,EHZE,App Modernisation,Digital,Project,IND,NSEIT-IND-SA,0.00,1.94,1.58,0.36,0.36
